0;-7.60324;
1;0;
2;0;
3;0;
4;-16.8973;
5;0;
6;0;
7;0;
8;-7.7236;
9;0;
10;0;
11;0;
12;-12.2057;
13;0;
14;0;
15;0;
16;-8.1146;
17;0;
18;0;
19;0;
20;-10.1777;
21;0;
22;0;
23;0;
24;-8.8745;
25;0;
26;0;
27;0;
28;-9.08309;
29;0;
30;0;
31;0;
32;-10.2112;
33;0;
34;0;
35;0;
36;-8.64204;
37;0;
38;0;
39;0;
40;-12.5999;
41;0;
42;0;
43;0;
44;-8.88792;
45;0;
46;0;
47;0;
48;-17.8078;
49;0;
50;0;
51;0;
52;-10.1303;
53;0;
54;0;
55;0;
56;-20.9913;
57;0;
58;0;
59;0;
60;-13.673;
61;0;
62;0;
63;0;
64;-22.2807;
65;0;
66;0;
67;0;
68;-16.8118;
69;0;
70;0;
71;0;
72;-15.3406;
73;0;
74;0;
75;0;
76;-11.3636;
77;0;
78;0;
79;0;
80;-10.4878;
81;0;
82;0;
83;0;
84;-10.377;
85;0;
86;0;
87;0;
88;-8.31404;
89;0;
90;0;
91;0;
92;-11.664;
93;0;
94;0;
95;0;
96;-7.82824;
97;0;
98;0;
99;0;
100;-16.9053;
101;0;
102;0;
103;0;
104;-9.4218;
105;0;
106;0;
107;0;
108;-20.0036;
109;0;
110;0;
111;0;
112;-21.703;
113;0;
114;0;
115;0;
116;-18.392;
117;0;
118;0;
119;0;
120;-10.0243;
121;0;
122;0;
123;0;
124;-10.6801;
125;0;
126;0;
127;0;
128;-8.73846;
129;0;
130;0;
131;0;
132;-8.72831;
133;0;
134;0;
135;0;
136;-11.0924;
137;0;
138;0;
139;0;
140;-10.901;
141;0;
142;0;
143;0;
144;-28.9428;
145;0;
146;0;
147;0;
148;-11.8405;
149;0;
150;0;
151;0;
152;-18.9057;
153;0;
154;0;
155;0;
156;-7.48106;
157;0;
158;0;
159;0;
160;-14.2179;
161;0;
162;0;
163;0;
164;-8.88527;
165;0;
166;0;
167;0;
168;-14.7764;
169;0;
170;0;
171;0;
172;-14.4573;
173;0;
174;0;
175;0;
176;-10.8094;
177;0;
178;0;
179;0;
180;-9.29792;
181;0;
182;0;
183;0;
184;-8.0433;
185;0;
186;0;
187;0;
188;-13.9109;
189;0;
190;0;
191;0;
192;-17.605;
193;0;
194;0;
195;0;
196;-16.9687;
197;0;
198;0;
199;0;
200;-7.47037;
201;0;
202;0;
203;0;
204;-14.4008;
205;0;
206;0;
207;0;
208;-9.43832;
209;0;
210;0;
211;0;
212;-19.5776;
213;0;
214;0;
215;0;
216;-9.63094;
217;0;
218;0;
219;0;
220;-8.57356;
221;0;
222;0;
223;0;
224;-10.1872;
225;0;
226;0;
227;0;
228;-12.3522;
229;0;
230;0;
231;0;
232;-13.7524;
233;0;
234;0;
235;0;
236;-7.102;
237;0;
238;0;
239;0;
240;-18.8072;
241;0;
242;0;
243;0;
244;-12.2831;
245;0;
246;0;
247;0;
248;-16.6619;
249;0;
250;0;
251;0;
252;-7.32687;
253;0;
254;0;
255;0;
256;-8.91783;
257;0;
258;0;
259;0;
260;-17.9475;
261;0;
262;0;
263;0;
264;-8.33829;
265;0;
266;0;
267;0;
268;-12.6025;
269;0;
270;0;
271;0;
272;-10.1051;
273;0;
274;0;
275;0;
276;-17.9081;
277;0;
278;0;
279;0;
280;-6.28889;
281;0;
282;0;
283;0;
284;-9.53384;
285;0;
286;0;
287;0;
288;-9.32802;
289;0;
290;0;
291;0;
292;-6.29635;
293;0;
294;0;
295;0;
296;-17.1218;
297;0;
298;0;
299;0;
300;-7.86215;
301;0;
302;0;
303;0;
304;-10.4849;
305;0;
306;0;
307;0;
308;-18.5998;
309;0;
310;0;
311;0;
312;-8.08126;
313;0;
314;0;
315;0;
316;-11.6449;
317;0;
318;0;
319;0;
320;-11.1926;
321;0;
322;0;
323;0;
324;-15.5746;
325;0;
326;0;
327;0;
328;-11.8875;
329;0;
330;0;
331;0;
332;-9.20201;
333;0;
334;0;
335;0;
336;-9.32013;
337;0;
338;0;
339;0;
340;-10.0404;
341;0;
342;0;
343;0;
344;-13.1661;
345;0;
346;0;
347;0;
348;-21.562;
349;0;
350;0;
351;0;
352;-11.9155;
353;0;
354;0;
355;0;
356;-9.62213;
357;0;
358;0;
359;0;
360;-8.55158;
361;0;
362;0;
363;0;
364;-8.15244;
365;0;
366;0;
367;0;
368;-8.16993;
369;0;
370;0;
371;0;
372;-8.51257;
373;0;
374;0;
375;0;
376;-9.10961;
377;0;
378;0;
379;0;
380;-9.92579;
381;0;
382;0;
383;0;
384;-10.9302;
385;0;
386;0;
387;0;
388;-12.1041;
389;0;
390;0;
391;0;
392;-13.4305;
393;0;
394;0;
395;0;
396;-14.8977;
397;0;
398;0;
399;0;
400;-16.4948;
401;0;
402;0;
403;0;
404;-18.2136;
405;0;
406;0;
407;0;
408;-20.0465;
409;0;
410;0;
411;0;
412;-21.9875;
413;0;
414;0;
415;0;
416;-24.0309;
417;0;
418;0;
419;0;
420;-26.1736;
421;0;
422;0;
423;0;
424;-28.4118;
425;0;
426;0;
427;0;
428;-30.7332;
429;0;
430;0;
431;0;
432;-33.152;
433;0;
434;0;
435;0;
436;-35.6265;
437;0;
438;0;
439;0;
440;-38.2219;
441;0;
442;0;
443;0;
444;-40.9227;
445;0;
446;0;
447;0;
448;-43.7276;
449;0;
450;0;
451;0;
452;0;
453;0;
454;0;
455;0;
456;0;
457;0;
458;0;
459;0;
460;0;
461;0;
462;0;
463;0;
464;0;
465;0;
466;0;
467;0;
468;0;
469;0;
470;0;
471;0;
472;0;
473;0;
474;0;
475;0;
476;0;
477;0;
478;0;
479;0;
480;0;
481;0;
482;0;
483;0;
484;0;
485;0;
486;0;
487;0;
488;0;
489;0;
490;0;
491;0;
492;0;
493;0;
494;0;
495;0;
496;0;
497;0;
498;0;
499;0;
